mfld loss = 1.0000079870224, ntk loss = 1.0003162622451782
mfld loss = 0.9999406933784485, ntk loss = 1.000685214996338
mfld loss = 0.9998989701271057, ntk loss = 1.0011165142059326
mfld loss = 0.9998855590820312, ntk loss = 0.9996011257171631
mfld loss = 0.9998543858528137, ntk loss = 0.9992324709892273
mfld loss = 0.99977046251297, ntk loss = 1.000121831893921
mfld loss = 0.9998013377189636, ntk loss = 0.999559760093689
mfld loss = 0.9996992349624634, ntk loss = 0.9995760917663574
mfld loss = 0.999632716178894, ntk loss = 0.998504638671875
mfld loss = 0.9995011687278748, ntk loss = 0.999851405620575
mfld loss = 0.999670684337616, ntk loss = 0.9999200105667114
mfld loss = 0.9992725849151611, ntk loss = 0.9979127049446106
mfld loss = 0.9996210932731628, ntk loss = 0.99932861328125
mfld loss = 0.9995145797729492, ntk loss = 1.0000203847885132
mfld loss = 0.9994200468063354, ntk loss = 1.000133752822876
mfld loss = 0.9993598461151123, ntk loss = 0.9990922212600708
mfld loss = 0.9992534518241882, ntk loss = 0.9982240200042725
mfld loss = 0.9990870356559753, ntk loss = 1.0003468990325928
mfld loss = 0.9993438720703125, ntk loss = 0.9988737106323242
mfld loss = 0.999098002910614, ntk loss = 0.997044026851654
mfld loss = 0.9991987943649292, ntk loss = 0.9985436797142029
mfld loss = 0.9991692304611206, ntk loss = 1.0000195503234863
mfld loss = 0.9990769624710083, ntk loss = 0.9979910254478455
mfld loss = 0.9990525841712952, ntk loss = 1.000361442565918
mfld loss = 0.9985060691833496, ntk loss = 0.9983529448509216
mfld loss = 0.9991431832313538, ntk loss = 0.9990107417106628
mfld loss = 0.9990782737731934, ntk loss = 0.9999929070472717
mfld loss = 0.9989669322967529, ntk loss = 0.9989330768585205
mfld loss = 0.998494565486908, ntk loss = 0.9985669255256653
mfld loss = 0.9985472559928894, ntk loss = 0.9995610117912292
mfld loss = 0.9986703395843506, ntk loss = 0.9992030262947083
mfld loss = 0.9986486434936523, ntk loss = 0.9999790787696838
mfld loss = 0.9978848099708557, ntk loss = 0.9987180233001709
mfld loss = 0.9978674650192261, ntk loss = 0.997664213180542
mfld loss = 0.9986592531204224, ntk loss = 0.9993665814399719
mfld loss = 0.9980720281600952, ntk loss = 0.9968888759613037
mfld loss = 0.9985873699188232, ntk loss = 0.998289942741394
mfld loss = 0.9984223246574402, ntk loss = 0.9974969029426575
mfld loss = 0.9976397752761841, ntk loss = 0.9994698166847229
mfld loss = 0.9979028701782227, ntk loss = 0.999601423740387
mfld loss = 0.9975573420524597, ntk loss = 0.9980389475822449
mfld loss = 0.9979223608970642, ntk loss = 0.9994497299194336
mfld loss = 0.9975870251655579, ntk loss = 0.99897700548172
mfld loss = 0.9977052211761475, ntk loss = 0.9989562630653381
mfld loss = 0.9971129894256592, ntk loss = 0.9977782964706421
mfld loss = 0.9980805516242981, ntk loss = 0.9984835386276245
mfld loss = 0.9970933198928833, ntk loss = 0.9976422786712646
mfld loss = 0.9973124265670776, ntk loss = 0.9978958964347839
mfld loss = 0.997473955154419, ntk loss = 0.9992805123329163
mfld loss = 0.9974270462989807, ntk loss = 0.9974383115768433
mfld loss = 0.9966587424278259, ntk loss = 0.9952796697616577
mfld loss = 0.9965077042579651, ntk loss = 0.9987506866455078
mfld loss = 0.9975806474685669, ntk loss = 0.9978294968605042
mfld loss = 0.996723473072052, ntk loss = 0.9972897171974182
mfld loss = 0.9961918592453003, ntk loss = 0.9968138933181763
mfld loss = 0.9963082671165466, ntk loss = 0.9971546530723572
mfld loss = 0.9977302551269531, ntk loss = 0.9983280897140503
mfld loss = 0.9964444041252136, ntk loss = 0.9963749647140503
mfld loss = 0.9968003630638123, ntk loss = 0.9967868328094482
mfld loss = 0.9970183968544006, ntk loss = 0.9982634782791138
mfld loss = 0.996304988861084, ntk loss = 0.9954226613044739
mfld loss = 0.9966175556182861, ntk loss = 0.9976767301559448
mfld loss = 0.9966208934783936, ntk loss = 0.9977473020553589
mfld loss = 0.995237410068512, ntk loss = 0.9976330399513245
mfld loss = 0.9947324395179749, ntk loss = 0.9960996508598328
mfld loss = 0.9959712624549866, ntk loss = 0.9985243082046509
mfld loss = 0.9945263266563416, ntk loss = 0.9961599707603455
mfld loss = 0.994504988193512, ntk loss = 0.9971709847450256
mfld loss = 0.9949589371681213, ntk loss = 0.9977654814720154
mfld loss = 0.9943870306015015, ntk loss = 0.9953177571296692
mfld loss = 0.9957618713378906, ntk loss = 0.9976182579994202
mfld loss = 0.9957646727561951, ntk loss = 0.9977984428405762
mfld loss = 0.995010256767273, ntk loss = 0.9970617294311523
mfld loss = 0.9949474930763245, ntk loss = 0.9955870509147644
mfld loss = 0.995142936706543, ntk loss = 0.997302234172821
mfld loss = 0.9942775368690491, ntk loss = 0.9971003532409668
mfld loss = 0.9938772320747375, ntk loss = 0.9964834451675415
mfld loss = 0.995155930519104, ntk loss = 0.9969149827957153
mfld loss = 0.9938289523124695, ntk loss = 0.9965327382087708
mfld loss = 0.994676947593689, ntk loss = 0.9972323179244995
mfld loss = 0.9934496879577637, ntk loss = 0.9970144629478455
mfld loss = 0.9939967393875122, ntk loss = 0.9984502792358398
mfld loss = 0.9937804341316223, ntk loss = 0.9980117678642273
mfld loss = 0.9942650198936462, ntk loss = 0.9973412752151489
mfld loss = 0.9923068284988403, ntk loss = 0.9956896901130676
mfld loss = 0.9922128319740295, ntk loss = 0.9960137009620667
mfld loss = 0.994927167892456, ntk loss = 0.9965234398841858
mfld loss = 0.9928897023200989, ntk loss = 0.9956325888633728
mfld loss = 0.992354691028595, ntk loss = 0.9960222244262695
mfld loss = 0.9935739636421204, ntk loss = 0.998137354850769
mfld loss = 0.9934051036834717, ntk loss = 0.996590256690979
mfld loss = 0.991432785987854, ntk loss = 0.9959406852722168
mfld loss = 0.9922582507133484, ntk loss = 0.9986069798469543
mfld loss = 0.9890081286430359, ntk loss = 0.9944236278533936
mfld loss = 0.9909929633140564, ntk loss = 0.996764063835144
mfld loss = 0.9927494525909424, ntk loss = 0.9979092478752136
mfld loss = 0.9932913184165955, ntk loss = 0.9961385130882263
mfld loss = 0.9930071830749512, ntk loss = 0.9972766041755676
mfld loss = 0.9897172451019287, ntk loss = 0.9942951202392578
mfld loss = 0.9922332763671875, ntk loss = 0.9965589642524719
mfld loss = 0.9904099702835083, ntk loss = 0.9957412481307983
mfld loss = 0.991683840751648, ntk loss = 0.9981147646903992
mfld loss = 0.9916101098060608, ntk loss = 0.9965122938156128
mfld loss = 0.990909993648529, ntk loss = 0.9954519271850586
mfld loss = 0.9897911548614502, ntk loss = 0.9963957071304321
mfld loss = 0.9905418753623962, ntk loss = 0.997307538986206
mfld loss = 0.9898039102554321, ntk loss = 0.9972597360610962
mfld loss = 0.9909202456474304, ntk loss = 0.9973189830780029
mfld loss = 0.9866576194763184, ntk loss = 0.9964833855628967
mfld loss = 0.9883154034614563, ntk loss = 0.9950326085090637
mfld loss = 0.9859778881072998, ntk loss = 0.994523286819458
mfld loss = 0.9882685542106628, ntk loss = 0.9972115755081177
mfld loss = 0.9869698882102966, ntk loss = 0.9942212700843811
mfld loss = 0.9875701665878296, ntk loss = 0.9967365264892578
mfld loss = 0.9884924292564392, ntk loss = 0.996966540813446
mfld loss = 0.9883987307548523, ntk loss = 0.9954847693443298
mfld loss = 0.9880121946334839, ntk loss = 0.9958108067512512
mfld loss = 0.984647810459137, ntk loss = 0.9937230944633484
mfld loss = 0.9822472929954529, ntk loss = 0.9922515749931335
mfld loss = 0.9849909543991089, ntk loss = 0.9947976469993591
mfld loss = 0.98741614818573, ntk loss = 0.9964613318443298
mfld loss = 0.985599935054779, ntk loss = 0.9947384595870972
mfld loss = 0.9832352995872498, ntk loss = 0.993415117263794
mfld loss = 0.9838735461235046, ntk loss = 0.9949874877929688
mfld loss = 0.9832126498222351, ntk loss = 0.9945744276046753
mfld loss = 0.9843295812606812, ntk loss = 0.9937292337417603
mfld loss = 0.9817080497741699, ntk loss = 0.995473325252533
mfld loss = 0.9867061972618103, ntk loss = 0.995938241481781
mfld loss = 0.9833927154541016, ntk loss = 0.994553804397583
mfld loss = 0.9809005260467529, ntk loss = 0.9932466745376587
mfld loss = 0.9849216938018799, ntk loss = 0.9946459531784058
mfld loss = 0.9837206602096558, ntk loss = 0.9945571422576904
mfld loss = 0.9822127819061279, ntk loss = 0.9948477149009705
mfld loss = 0.9808990359306335, ntk loss = 0.994431734085083
mfld loss = 0.9791353344917297, ntk loss = 0.9935219287872314
mfld loss = 0.9801244735717773, ntk loss = 0.9955294728279114
mfld loss = 0.9791796803474426, ntk loss = 0.9936328530311584
mfld loss = 0.9822241067886353, ntk loss = 0.9937162399291992
mfld loss = 0.9790655374526978, ntk loss = 0.9940387010574341
mfld loss = 0.9793255925178528, ntk loss = 0.9940398335456848
mfld loss = 0.9761770367622375, ntk loss = 0.9935526251792908
mfld loss = 0.9792851805686951, ntk loss = 0.9944862127304077
