mfld loss = 0.9999858140945435, ntk loss = 0.9978610277175903
mfld loss = 0.9999498724937439, ntk loss = 1.0004457235336304
mfld loss = 0.9999935626983643, ntk loss = 0.9994872212409973
mfld loss = 0.9998783469200134, ntk loss = 1.0009634494781494
mfld loss = 0.9997771978378296, ntk loss = 0.9981204271316528
mfld loss = 0.9997709393501282, ntk loss = 0.999100923538208
mfld loss = 0.9997246861457825, ntk loss = 0.9990126490592957
mfld loss = 0.9995061755180359, ntk loss = 0.9980962872505188
mfld loss = 0.9994874596595764, ntk loss = 0.9971355199813843
mfld loss = 0.9993321299552917, ntk loss = 0.999967098236084
mfld loss = 0.9993806481361389, ntk loss = 0.9992704391479492
mfld loss = 0.9993175864219666, ntk loss = 0.9974386096000671
mfld loss = 0.9996352195739746, ntk loss = 0.9974458813667297
mfld loss = 0.999182403087616, ntk loss = 0.9990023374557495
mfld loss = 0.9991337656974792, ntk loss = 1.0004322528839111
mfld loss = 0.9992902278900146, ntk loss = 0.9981794357299805
mfld loss = 0.9992932081222534, ntk loss = 1.0001212358474731
mfld loss = 0.9991561770439148, ntk loss = 0.9987161755561829
mfld loss = 0.9990794062614441, ntk loss = 0.9969416856765747
mfld loss = 0.9991172552108765, ntk loss = 1.0029420852661133
mfld loss = 0.9987240433692932, ntk loss = 0.9963327646255493
mfld loss = 0.9985261559486389, ntk loss = 0.9969761371612549
mfld loss = 0.9988674521446228, ntk loss = 0.9986788630485535
mfld loss = 0.9985276460647583, ntk loss = 0.9969918727874756
mfld loss = 0.9983524680137634, ntk loss = 0.9992948770523071
mfld loss = 0.9981949925422668, ntk loss = 0.9978145956993103
mfld loss = 0.9987393021583557, ntk loss = 0.9969385862350464
mfld loss = 0.9983399510383606, ntk loss = 0.9998949766159058
mfld loss = 0.9985306859016418, ntk loss = 0.9987329840660095
mfld loss = 0.9974780082702637, ntk loss = 0.9990711212158203
mfld loss = 0.9978869557380676, ntk loss = 0.9991636276245117
mfld loss = 0.9983248710632324, ntk loss = 1.0000660419464111
mfld loss = 0.9989714026451111, ntk loss = 1.0003520250320435
mfld loss = 0.9979642033576965, ntk loss = 1.0001238584518433
mfld loss = 0.9982510209083557, ntk loss = 0.9958016276359558
mfld loss = 0.9979619979858398, ntk loss = 0.9946984648704529
mfld loss = 0.9985452890396118, ntk loss = 0.9950222373008728
mfld loss = 0.9982889890670776, ntk loss = 1.0006376504898071
mfld loss = 0.9975801110267639, ntk loss = 0.997668445110321
mfld loss = 0.997522234916687, ntk loss = 0.9960818290710449
mfld loss = 0.9975929856300354, ntk loss = 0.9988188147544861
mfld loss = 0.9973731637001038, ntk loss = 0.9980387091636658
mfld loss = 0.9971426129341125, ntk loss = 1.0013086795806885
mfld loss = 0.9976497292518616, ntk loss = 1.0006251335144043
mfld loss = 0.9979972839355469, ntk loss = 0.9979001879692078
mfld loss = 0.9960730671882629, ntk loss = 0.9963617324829102
mfld loss = 0.9974134564399719, ntk loss = 0.9980809092521667
mfld loss = 0.9972052574157715, ntk loss = 0.9984844923019409
mfld loss = 0.9960546493530273, ntk loss = 0.995441734790802
mfld loss = 0.9970861673355103, ntk loss = 0.9943971037864685
mfld loss = 0.9966529607772827, ntk loss = 0.9970608949661255
mfld loss = 0.9970861673355103, ntk loss = 1.000672459602356
mfld loss = 0.9970298409461975, ntk loss = 0.997368574142456
mfld loss = 0.996003270149231, ntk loss = 0.9953846335411072
mfld loss = 0.9963066577911377, ntk loss = 0.9959272742271423
mfld loss = 0.996051549911499, ntk loss = 0.996910810470581
mfld loss = 0.996295690536499, ntk loss = 0.9982607960700989
mfld loss = 0.9963791370391846, ntk loss = 0.9993790984153748
mfld loss = 0.9962248206138611, ntk loss = 0.9969193339347839
mfld loss = 0.995786190032959, ntk loss = 0.9954853653907776
mfld loss = 0.9957363605499268, ntk loss = 0.9960153698921204
mfld loss = 0.9938006401062012, ntk loss = 0.9938104152679443
mfld loss = 0.9953030943870544, ntk loss = 0.9943848252296448
mfld loss = 0.993964672088623, ntk loss = 0.9964709281921387
mfld loss = 0.9949552416801453, ntk loss = 0.9978086352348328
mfld loss = 0.99383145570755, ntk loss = 0.9965813755989075
mfld loss = 0.9945835471153259, ntk loss = 0.9979941844940186
mfld loss = 0.9963645935058594, ntk loss = 0.9987894296646118
mfld loss = 0.9949087500572205, ntk loss = 0.9965991973876953
mfld loss = 0.993714451789856, ntk loss = 0.9980656504631042
mfld loss = 0.9941302537918091, ntk loss = 0.9959249496459961
mfld loss = 0.9940785765647888, ntk loss = 0.996016800403595
mfld loss = 0.9952502250671387, ntk loss = 0.9979543685913086
mfld loss = 0.9952548146247864, ntk loss = 0.9957924485206604
mfld loss = 0.9941366910934448, ntk loss = 0.9992794394493103
mfld loss = 0.9957270622253418, ntk loss = 0.9975823163986206
mfld loss = 0.9949253797531128, ntk loss = 0.9984505772590637
mfld loss = 0.9924209117889404, ntk loss = 0.9947128891944885
mfld loss = 0.9930439591407776, ntk loss = 0.9951298236846924
mfld loss = 0.9951361417770386, ntk loss = 0.9967376589775085
mfld loss = 0.9917587041854858, ntk loss = 0.9939262270927429
mfld loss = 0.9934929609298706, ntk loss = 0.9956293106079102
mfld loss = 0.9930181503295898, ntk loss = 0.9971556067466736
mfld loss = 0.9936726689338684, ntk loss = 0.9949550628662109
mfld loss = 0.9918015599250793, ntk loss = 0.9944397807121277
mfld loss = 0.9951258897781372, ntk loss = 0.9982731342315674
