mfld loss = 1.0000165700912476, ntk loss = 0.9980039596557617
mfld loss = 0.9999772906303406, ntk loss = 1.001363754272461
mfld loss = 0.9998318552970886, ntk loss = 1.0003302097320557
mfld loss = 0.9999000430107117, ntk loss = 1.0021953582763672
mfld loss = 0.9996428489685059, ntk loss = 1.0012609958648682
mfld loss = 0.9995251893997192, ntk loss = 0.9986549019813538
mfld loss = 0.9995995759963989, ntk loss = 1.0031815767288208
mfld loss = 0.9993383288383484, ntk loss = 1.0002766847610474
mfld loss = 0.9988906383514404, ntk loss = 0.999944806098938
mfld loss = 0.9984944462776184, ntk loss = 0.9973570704460144
mfld loss = 0.9990493655204773, ntk loss = 0.998755693435669
mfld loss = 0.9988316297531128, ntk loss = 0.9962174892425537
mfld loss = 0.9982965588569641, ntk loss = 1.0009655952453613
mfld loss = 0.9975651502609253, ntk loss = 0.9990362524986267
mfld loss = 0.9967434406280518, ntk loss = 0.9980013966560364
mfld loss = 0.9967301487922668, ntk loss = 0.9937491416931152
mfld loss = 0.9961643815040588, ntk loss = 0.9965776801109314
mfld loss = 0.9954769611358643, ntk loss = 0.9952920079231262
mfld loss = 0.9934236407279968, ntk loss = 0.9933866858482361
mfld loss = 0.9913805723190308, ntk loss = 0.9946436882019043
mfld loss = 0.9913341999053955, ntk loss = 0.9915388226509094
mfld loss = 0.9885278344154358, ntk loss = 0.9935360550880432
mfld loss = 0.9854345321655273, ntk loss = 0.9921652674674988
mfld loss = 0.9838017225265503, ntk loss = 0.991452157497406
mfld loss = 0.985584557056427, ntk loss = 0.9936968684196472
mfld loss = 0.9668232798576355, ntk loss = 0.9832784533500671
mfld loss = 0.9724607467651367, ntk loss = 0.983246386051178
mfld loss = 0.9612917900085449, ntk loss = 0.9822031855583191
mfld loss = 0.9541547894477844, ntk loss = 0.9850178360939026
mfld loss = 0.963090181350708, ntk loss = 0.9906283617019653
mfld loss = 0.9398200511932373, ntk loss = 0.9799479246139526
mfld loss = 0.9474372863769531, ntk loss = 0.9828104972839355
mfld loss = 0.9252192378044128, ntk loss = 0.9788710474967957
mfld loss = 0.9185131788253784, ntk loss = 0.9893258213996887
mfld loss = 0.8585273027420044, ntk loss = 0.9730131030082703
mfld loss = 0.8735100626945496, ntk loss = 0.9772133231163025
mfld loss = 0.8036191463470459, ntk loss = 0.9683606028556824
mfld loss = 0.8762707114219666, ntk loss = 0.9760326147079468
mfld loss = 0.8077621459960938, ntk loss = 0.9668437242507935
mfld loss = 0.8408659100532532, ntk loss = 0.9772329330444336
mfld loss = 0.765653669834137, ntk loss = 0.9668595194816589
mfld loss = 0.7563924789428711, ntk loss = 0.9678129553794861
mfld loss = 0.66226726770401, ntk loss = 0.9654982686042786
mfld loss = 0.714210033416748, ntk loss = 0.967522382736206
mfld loss = 0.7066956758499146, ntk loss = 0.9631800651550293
mfld loss = 0.6378281712532043, ntk loss = 0.9587214589118958
mfld loss = 0.7331748604774475, ntk loss = 0.9635506868362427
mfld loss = 0.7717035412788391, ntk loss = 0.9670526385307312
mfld loss = 0.6537761688232422, ntk loss = 0.9619888067245483
mfld loss = 0.6133914589881897, ntk loss = 0.9566681385040283
mfld loss = 0.5355274677276611, ntk loss = 0.9392580986022949
mfld loss = 0.6042230129241943, ntk loss = 0.9452815055847168
mfld loss = 0.6601954698562622, ntk loss = 0.9540961980819702
mfld loss = 0.6929826736450195, ntk loss = 0.9452272057533264
mfld loss = 0.5473272800445557, ntk loss = 0.9441626667976379
mfld loss = 0.6329038739204407, ntk loss = 0.9242047071456909
mfld loss = 0.549684464931488, ntk loss = 0.9385461211204529
mfld loss = 0.7390620112419128, ntk loss = 0.9453567266464233
mfld loss = 0.6643860340118408, ntk loss = 0.9381000995635986
mfld loss = 0.7744088768959045, ntk loss = 0.9421489238739014
mfld loss = 0.4214012920856476, ntk loss = 0.8925840854644775
mfld loss = 0.6135942339897156, ntk loss = 0.9286161661148071
mfld loss = 0.6961487531661987, ntk loss = 0.9165897965431213
mfld loss = 0.45744654536247253, ntk loss = 0.9254717826843262
mfld loss = 0.4385351836681366, ntk loss = 0.8988633751869202
mfld loss = 0.6486879587173462, ntk loss = 0.9159655570983887
mfld loss = 0.8545796275138855, ntk loss = 0.9141225814819336
mfld loss = 0.9623114466667175, ntk loss = 0.929426908493042
mfld loss = 0.7794693112373352, ntk loss = 0.8961833119392395
mfld loss = 0.8517622351646423, ntk loss = 0.9172183275222778
mfld loss = 0.596416711807251, ntk loss = 0.8915125727653503
mfld loss = 0.7554555535316467, ntk loss = 0.9204353094100952
mfld loss = 0.696519136428833, ntk loss = 0.8737797141075134
mfld loss = 0.8764920830726624, ntk loss = 0.9179051518440247
mfld loss = 0.5478795766830444, ntk loss = 0.8557644486427307
mfld loss = 0.7539774775505066, ntk loss = 0.8892756700515747
